год,добыча полезных ископаемых,уровень инфляции,добыча с инфл,рост в %,рост выше инфляции
2000,5940.20,0.00,5940.20,5940.20,Да
2001,9099.20,18.58,7408.57,34.72,Да
2002,11080.90,15.06,9412.12,17.88,Да
2003,13912.40,11.99,12244.30,20.35,Да
2004,16841.70,11.74,14864.48,17.39,Да
2005,19726.90,10.91,17574.70,14.63,Да
2006,23145.20,9.00,21062.13,14.77,Да
2007,28107.50,11.87,24771.14,17.65,Да
2008,33206.10,13.28,28796.33,15.35,Да
2009,35363.40,8.80,32251.42,6.10,Нет
2010,39895.00,8.78,36392.22,11.36,Да
2011,45132.00,6.10,42378.95,11.60,Да
2012,50400.60,6.58,47084.24,10.45,Да
2013,54161.20,6.45,50667.80,6.94,Да
2014,58959.00,11.36,52261.26,8.14,Нет
2015,63695.00,12.91,55471.98,7.44,Нет
2016,69936.00,5.38,66173.44,8.92,Да
2017,74474.10,2.52,72597.35,6.09,Да
2018,83178.00,4.27,79626.30,10.46,Да
2019,89343.70,3.05,86618.72,6.90,Да
2020,95359.00,4.91,90676.87,6.31,Да
2021,103473.50,8.39,94792.07,7.84,Нет
2022,118375.70,11.92,104265.32,12.59,Да
2023,130825.60,7.42,121118.34,9.52,Да
